Do you feel safe riding your bicycle in Syracuse,Why or why not?,What changes would you like to see in cycling infrastructure?,Does the current state of infrastructure affect your plans for the future?,What type of riding do you do?,What gender you identify with?,What is your employment status?,Where economic class would you put yourself in?,What age range are you in?
Yes,"Because I am an experienced rider, and I recognize not everyone is so and probably feel very unsafe bicycling our streets.",Much more signage and sharrow painting would show the city support for bicycle riders. There should also be a PSA campaign. ,Doesn't affect me.,"Recreation, Commuting",Man,Full time,Middle Class,51-60
No,There are drivers unwilling to share road and even when there are lanes for bicycles/ebikes they will be impeded by either lack of being maintained (we get a lot of snow) or trashcans/parking/deliveries.,County wide lanes so it's safe to commute via bike because it should be. Connect the burbs to the city it's what we really need for safe bike environment. They also have to be maintained or they serve absolutely no purpose.,I don't have a choice. It isn't fair to force people to use cars it isn't even safe to walk anywhere in Onondaga county to be fair...Syracuse just happens to be the worst when it comes to bike stuff which is why I live in a burb and commute. Not worth the $$$ ,Commuting,Woman,Full time,Middle Class,31-40
Yes,Yes but with caveats. I feel safe riding on bike infrastructure and in low traffic times. ,"More protected pathways, more tickets for drivers who violate pedestrian/bike right of ways. ",I'm pretty committed to Syracuse at this point- having more bike infrastructure would make me happier to be there though. ,Commuting,Woman,Full time,Middle Class,31-40
Yes,"Most of the time I feel safe when I ride in Syracuse.  I do chopse streets on which I feel comfortable riding . I avoid streets on which I am not comfortable riding,",Road diets with bike lanes on all 4 lane streets.  R.  Signal detection that detect bicycles. A 20  mph speed limit on city streets.  Speed limits enforced.  More bike racks everywhere people can be expected to go.,No. I expect to die here.  My family is here.,"Recreation, Commuting",Man,Part time,Middle Class,51-60
No,Motorists are not concerned with cyclists and will not provide enough clearance and or yield to cyclists. ,Need legislation to be enforced by law enforcement and identify other legislation missing that would enhance cyclist safety. ,No,Recreation,Man,Full time,Prefer not to say,41-50
Yes,Nothing bad has happened to me yet. Also the bike lanes/paths give sometimes good alternatives to riding with traffic. ,More bikes lanes that are well maintained and swept,"I’m excited about it but I wouldn’t take it into consideration to leave or stay, only because idk I left if would be for a job. ",Recreation,Woman,Full time,Middle Class,31-40
No,"""bike lanes"" are not bike lanes,","complete loop the lake, make safe connections from neighborhoods to Erie canal trail and other city trails ","encourages me to leave, Syracuse is not a bike able cities and there are comparable cities that are. ",Recreation,Man,Full time,Middle Class,31-40
No,Too many shady people making it feel like I’m going to get robbed or mugged,I would love to see a citywide infrastructure change. Too many bad eggs in Syracuse,It encourages me to leave. Don’t even want to go out downtown anymore after 9pm because it feels unsafe.,Recreation,Man,Full time,Middle Class,31-40
No,Afraid of cars ,Bike lanes in the entire city ,No,Recreation,Woman,Full time,Upper Middle,31-40
Yes,"Designated bike lanes, lots of areas to ride ",Even more bike lanes,Stay,Recreation,Woman,Full time,Middle Class,31-40
No,Distracted drivers and unclear bicycle lane patterns,"More bike paths connecting other areas of the city,  not just empire state trail.",I will be staying regardless ,"Recreation, Commuting",Man,"Part time, Full time",Lower Middle Class,21-30
